date,R_fighter,B_fighter,Winner,weight_class,gender,no_of_rounds,R_current_win_streak,B_current_win_streak,R_longest_win_streak,B_longest_win_streak,R_current_lose_streak,B_current_lose_streak,R_wins,B_wins,R_losses,B_losses,R_total_rounds_fought,B_total_rounds_fought,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_win_by_Submission,B_win_by_Submission,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_age,B_age,R_avg_SIG_STR_landed,B_avg_SIG_STR_landed,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_landed,B_avg_TD_landed,R_avg_TD_pct,B_avg_TD_pct,R_Stance,B_Stance,R_ufc_fights,B_ufc_fights
2026-03-28,Israel Adesanya,Joe Pyfer,Blue,Middleweight,MALE,5,0,3,9,4,3,0,13,7,5,2,66,18,12,0,5,4,0,2,193.04,187.96,203.2,190.5,36,29,4.03,3.52,0.48,0.44,0.1,0.9,0.05,1.45,0.09,0.3,Switch,Orthodox,18,9
2026-03-28,Michael Chiesa,Niko Price,Red,Welterweight,MALE,3,3,0,4,2,0,3,14,8,7,10,47,40,1,0,0,4,8,2,185.42,182.88,190.5,193.04,38,36,2.02,5.11,0.4,0.43,1.0,0.6,3.11,1.06,0.47,0.3,Southpaw,Orthodox,21,18
2026-03-28,Mansur Abdul-Malik,Yousri Belgaroui,Blue,Middleweight,MALE,3,4,2,3,2,0,0,4,2,0,1,9,9,0,0,3,2,1,0,187.96,198.12,203.2,200.66,28,33,3.28,6.1,0.44,0.64,0.3,0.0,1.65,0.29,0.41,1.0,Orthodox,Orthodox,4,3
2026-03-28,Terrance McKinney,Kyle Nelson,Red,Lightweight,MALE,3,0,1,2,3,1,0,7,5,6,5,16,26,0,0,4,2,3,0,177.8,180.34,185.42,180.34,31,34,6.53,3.6,0.55,0.45,2.1,0.5,3.31,1.18,0.4,0.23,Switch,Switch,13,10
2026-03-28,Navajo Stirling,Bruno Lopes,Red,Light Heavyweight,MALE,3,4,0,4,2,0,1,4,2,0,2,11,7,0,0,1,1,0,0,193.04,187.96,200.66,187.96,28,32,6.25,2.88,0.52,0.43,0.0,0.0,0.98,1.93,0.28,0.21,Orthodox,Orthodox,4,4
2026-03-28,Ricky Simon,Adrian Yanez,Draw,Bantamweight,MALE,3,0,0,5,6,1,1,11,7,6,3,46,18,0,0,2,6,3,0,167.64,170.18,175.26,177.8,33,32,3.03,5.96,0.42,0.41,0.3,0.0,4.49,0.0,0.41,0.0,Orthodox,Orthodox,17,10
2026-03-21,Movsar Evloev,Lerone Murphy,Red,Featherweight,MALE,5,9,9,9,9,0,0,9,9,0,0,27,29,0,0,0,3,0,0,170.18,175.26,182.88,185.42,32,34,3.91,4.34,0.47,0.51,0.2,0.5,4.78,1.2,0.52,0.54,Orthodox,Orthodox,9,9
2026-03-21,Michael Page,Sam Patterson,Red,Welterweight,MALE,3,2,4,2,4,0,0,3,5,1,1,12,7,0,0,0,2,0,3,190.5,190.5,200.66,198.12,38,29,2.28,2.62,0.58,0.37,0.0,1.6,0.19,0.82,0.16,0.5,Switch,Orthodox,4,6
2026-03-21,Iwo Baraniewski,Austen Lane,Red,Light Heavyweight,MALE,3,2,0,2,1,0,2,2,2,0,5,2,12,0,0,2,1,0,0,182.88,198.12,185.42,203.2,27,38,15.77,2.7,0.7,0.5,0.0,0.0,0.0,1.5,0.0,0.28,Orthodox,Orthodox,2,7
2026-03-21,Roman Dolidze,Christian Leroy Duncan,Blue,Middleweight,MALE,3,0,3,4,3,1,0,9,6,4,2,35,17,0,0,5,5,0,0,187.96,187.96,193.04,200.66,37,30,3.19,4.43,0.41,0.57,0.7,0.0,1.16,0.33,0.43,0.16,Orthodox,Switch,13,8
2026-03-14,Josh Emmett,Kevin Vallejos,Blue,Featherweight,MALE,5,0,4,5,4,2,0,10,4,6,1,44,10,1,0,4,3,0,0,167.64,170.18,177.8,172.72,41,24,3.67,6.12,0.35,0.48,0.1,0.0,1.07,0.66,0.36,0.28,Orthodox,Switch,16,5
